owner,team,league,recipient,amount,election_year,party,new_party,new_amount
David Bonderman,Seattle Kraken,NHL,TED DEUTCH FOR CONGRESS COMMITTEE,"$1,000",2020,Democrat,Democrat,1000
David Bonderman,Seattle Kraken,NHL,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,$500,2020,Democrat,Democrat,500
Dawn Trudeau,Seattle Storm,WNBA,HILLARY VICTORY FUND,"$4,700",2016,Democrat,Democrat,4700
Dawn Trudeau,Seattle Storm,WNBA,FLIP WA BLUE 2018,"$3,000",2018,Democrat,Democrat,3000
Dawn Trudeau,Seattle Storm,WNBA,FRIENDS OF BRADY WALKINSHAW,"$2,000",2016,Democrat,Democrat,2000
Dawn Trudeau,Seattle Storm,WNBA,ACTBLUE,$550,2020,Democrat,Democrat,550
Dawn Trudeau,Seattle Storm,WNBA,DELBENE FOR CONGRESS,$500,2018,Democrat,Democrat,500
Dawn Trudeau,Seattle Storm,WNBA,MURRAY VICTORY FUND,$250,2016,Democrat,Democrat,250
Dawn Trudeau,Seattle Storm,WNBA,ACTBLUE,$120,2016,Democrat,Democrat,120
Dawn Trudeau,Seattle Storm,WNBA,ACTBLUE,$100,2018,Democrat,Democrat,100
Dean A. Spanos,Los Angeles Chargers,NFL,TAKE BACK THE HOUSE 2020,"$37,500",2020,Republican,Republican,37500
Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Dean A. Spanos,Los Angeles Chargers,NFL,WINRED,"$5,620",2020,Republican,Republican,5620
Dean A. Spanos,Los Angeles Chargers,NFL,MICHELLE STEEL FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Dean A. Spanos,Los Angeles Chargers,NFL,"STREICKER FOR CONGRESS, INC.","$5,600",2020,Republican,Republican,5600
Dean A. Spanos,Los Angeles Chargers,NFL,FRIENDS OF JOE HECK,"$5,400",2016,Republican,Republican,5400
Dean A. Spanos,Los Angeles Chargers,NFL,ISSA FOR CONGRESS,"$5,000",2016,Republican,Republican,5000
Dean A. Spanos,Los Angeles Chargers,NFL,RICKPAC,"$5,000",2016,Republican,Republican,5000
Dean A. Spanos,Los Angeles Chargers,NFL,DARRELL ISSA VICTORY FUND,"$5,000",2018,Republican,Republican,5000
Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Dean A. Spanos,Los Angeles Chargers,NFL,FRIENDS OF KELLY AYOTTE INC,"$2,700",2016,Republican,Republican,2700
Dean A. Spanos,Los Angeles Chargers,NFL,"JEB 2016, INC.","$2,700",2016,Republican,Republican,2700
Dean A. Spanos,Los Angeles Chargers,NFL,PERRY FOR PRESIDENT INC,"$2,700",2016,Republican,Republican,2700
Dean A. Spanos,Los Angeles Chargers,NFL,DARRELL ISSA VICTORY FUND,"$2,500",2016,Republican,Republican,2500
Dean A. Spanos,Los Angeles Chargers,NFL,HECK YES! VICTORY FUND,"$2,500",2016,Republican,Republican,2500
Dean A. Spanos,Los Angeles Chargers,NFL,TARKANIAN FOR CONGRESS,"$2,000",2016,Republican,Republican,2000
Dean A. Spanos,Los Angeles Chargers,NFL,BOUSTANY FOR SENATE INC,"$1,000",2016,Republican,Republican,1000
Dean A. Spanos,Los Angeles Chargers,NFL,TED HOWZE FOR CONGRESS 2020,"$1,000",2020,Republican,Republican,1000
Dean A. Spanos,Los Angeles Chargers,NFL,NICOLE FOR NEW YORK,$500,2020,Republican,Republican,500
Dean A. Spanos,Los Angeles Chargers,NFL,BOB ELLIOTT FOR CONGRESS,$250,2020,Republican,Republican,250
Dean A. Spanos,Los Angeles Chargers,NFL,MARLA LIVENGOOD FOR CONGRESS 2020,$250,2020,Republican,Republican,250
Dean A. Spanos,Los Angeles Chargers,NFL,MCNERNEY FOR CONGRESS,$250,2020,Democrat,Democrat,250
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,"$5,000",2016,Democrat,Democrat,5000
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,"$5,000",2018,Democrat,Democrat,5000
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,"$2,800",2020,Democrat,Democrat,2800
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR AMERICA,"$2,700",2020,Democrat,Democrat,2700
Denise DeBartolo York,San Francisco 49ers,NFL,FRIENDS OF SHERROD BROWN,"$2,500",2018,Democrat,Democrat,2500
Denise DeBartolo York,San Francisco 49ers,NFL,CITIZENS FOR MICHAEL WAGER,$500,2016,Democrat,Democrat,500
Denise DeBartolo York,San Francisco 49ers,NFL,HILLARY FOR AMERICA,$500,2016,Democrat,Democrat,500
E. Stanley Kroenke and Ann Kroenke,"Denver Nuggets, Los Angeles Rams, Colorado Avalanche","NBA, NFL, NHL",HILLARY VICTORY FUND,"$100,000",2016,Democrat,Democrat,100000
E. Stanley Kroenke and Ann Kroenke,"Denver Nuggets, Los Angeles Rams, Colorado Avalanche","NBA, NFL, NHL",NRSC,"$33,400",2016,Republican,Republican,33400
E. Stanley Kroenke and Ann Kroenke,"Denver Nuggets, Los Angeles Rams, Colorado Avalanche","NBA, NFL, NHL",GRIDIRON-PAC,"$15,000",2016,Bipartisan,Bipartisan,15000
Edward Glazer,Tampa Bay Buccaneers,NFL,REPUBLICAN NATIONAL COMMITTEE,"$152,105",2018,Republican,Republican,152105
Edward Glazer,Tampa Bay Buccaneers,NFL,TRUMP VICTORY,"$50,000",2016,Republican,Republican,50000
Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$5,000",2018,Bipartisan,Bipartisan,5000
Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Edward Glazer,Tampa Bay Buccaneers,NFL,ELISE FOR CONGRESS,"$2,800",2020,Republican,Republican,2800
Edward Glazer,Tampa Bay Buccaneers,NFL,WINRED,"$2,800",2020,Republican,Republican,2800
Edward Glazer,Tampa Bay Buccaneers,NFL,COMSTOCK FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward Glazer,Tampa Bay Buccaneers,NFL,DENHAM FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward Glazer,Tampa Bay Buccaneers,NFL,HURD FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward Glazer,Tampa Bay Buccaneers,NFL,LEA MARQUEZ PETERSON FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward Glazer,Tampa Bay Buccaneers,NFL,STEVE KNIGHT FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward Glazer,Tampa Bay Buccaneers,NFL,YOUNG KIM FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,"$52,700",2018,Republican,Republican,52700
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCONNELL VICTORY COMMITTEE,"$50,000",2020,Republican,Republican,50000
Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,"$50,000",2020,Republican,Republican,50000
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCARTHY VICTORY FUND,"$38,400",2016,Republican,Republican,38400
Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,"$35,000",2018,Republican,Republican,35000
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,"$25,000",2016,Republican,Republican,25000
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCAIN-AYOTTE JOINT VICTORY COMMITTEE,"$10,800",2016,Republican,Republican,10800
Edward P. Roski Jr.,Los Angeles Kings,NHL,BOEHNER FOR SPEAKER,"$10,000",2016,Republican,Republican,10000
Edward P. Roski Jr.,Los Angeles Kings,NHL,SOUTHERN CALIFORNIA FUND,"$10,000",2016,Democrat,Democrat,10000
Edward P. Roski Jr.,Los Angeles Kings,NHL,REPUBLICAN PARTY OF WISCONSIN,"$10,000",2018,Republican,Republican,10000
Edward P. Roski Jr.,Los Angeles Kings,NHL,GARDNER VICTORY COMMITTEE,"$5,600",2020,Republican,Republican,5600
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND 2020,"$5,600",2020,Republican,Republican,5600
Edward P. Roski Jr.,Los Angeles Kings,NHL,TAYLOR FOR CONGRESS 2020,"$5,600",2020,Republican,Republican,5600
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR SENATOR JOHN CORNYN INC.,"$5,600",2020,Republican,Republican,5600
Edward P. Roski Jr.,Los Angeles Kings,NHL,BOOZMAN FOR ARKANSAS,"$5,400",2016,Republican,Republican,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,LIZ CHENEY FOR WYOMING,"$5,400",2016,Republican,Republican,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,COMMITTEE TO RE-ELECT LORETTA SANCHEZ,"$5,400",2016,Democrat,Democrat,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,"$5,400",2016,Democrat,Democrat,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,"$5,400",2016,Democrat,Democrat,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,SHERMAN FOR CONGRESS,"$5,400",2016,Democrat,Democrat,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,CRAMER FOR SENATE,"$5,400",2018,Republican,Republican,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY FOR SENATE INC,"$5,400",2018,Republican,Republican,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND,"$5,400",2018,Republican,Republican,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,MIMI WALTERS VICTORY FUND,"$5,400",2018,Republican,Republican,5400
Edward P. Roski Jr.,Los Angeles Kings,NHL,HELLER FOR SENATE,"$5,200",2016,Republican,Republican,5200
Edward P. Roski Jr.,Los Angeles Kings,NHL,"LEADERSHIP MATTERS FOR AMERICA PAC, INC.","$5,000",2016,Republican,Republican,5000
Edward P. Roski Jr.,Los Angeles Kings,NHL,LEADING ORANGE COUNTY PAC,"$5,000",2016,Democrat,Democrat,5000
Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),"$5,000",2018,Bipartisan,Bipartisan,5000
Edward P. Roski Jr.,Los Angeles Kings,NHL,PERDUE VICTORY INC,"$5,000",2020,Republican,Republican,5000
Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),"$5,000",2020,Bipartisan,Bipartisan,5000
Edward P. Roski Jr.,Los Angeles Kings,NHL,DUNCAN D. HUNTER FOR CONGRESS,"$2,800",2020,Republican,Republican,2800
Edward P. Roski Jr.,Los Angeles Kings,NHL,FRIENDS OF MATT GAETZ,"$2,800",2020,Republican,Republican,2800
Edward P. Roski Jr.,Los Angeles Kings,NHL,GREG RATHS FOR CONGRESS 2020,"$2,800",2020,Republican,Republican,2800
Edward P. Roski Jr.,Los Angeles Kings,NHL,TED LIEU FOR CONGRESS,"$2,700",2016,Democrat,Democrat,2700
Edward P. Roski Jr.,Los Angeles Kings,NHL,BAUGH FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,"$2,700",2018,Democrat,Democrat,2700
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,600",2016,Democrat,Democrat,2600
Edward P. Roski Jr.,Los Angeles Kings,NHL,LUCILLE ROYBAL-ALLARD FOR CONGRESS,"$2,500",2016,Democrat,Democrat,2500
Edward P. Roski Jr.,Los Angeles Kings,NHL,ROHRABACHER FOR CONGRESS,"$2,500",2018,Republican,Republican,2500
Edward P. Roski Jr.,Los Angeles Kings,NHL,MARIO DIAZ-BALART FOR CONGRESS,"$1,500",2018,Republican,Republican,1500
Edward P. Roski Jr.,Los Angeles Kings,NHL,BILL SHUSTER FOR CONGRESS,"$1,000",2016,Republican,Republican,1000
Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,"$1,000",2016,Republican,Republican,1000
Edward P. Roski Jr.,Los Angeles Kings,NHL,RON JOHNSON FOR SENATE INC,"$1,000",2016,Republican,Republican,1000
Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,"$1,000",2018,Republican,Republican,1000
Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,"$1,000",2018,Democrat,Democrat,1000
Edward P. Roski Jr.,Los Angeles Kings,NHL,BONAMICI FOR CONGRESS,$500,2018,Democrat,Democrat,500
Fred Wilpon,New York Mets,MLB,AMERICA LEADS,"$100,000",2016,Republican,Republican,100000
Fred Wilpon,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$6,667",2018,Bipartisan,Bipartisan,6667
Fred Wilpon,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$6,667",2016,Bipartisan,Bipartisan,6667
Fred Wilpon,New York Mets,MLB,STEVE ISRAEL FOR CONGRESS COMMITTEE,"$5,400",2016,Democrat,Democrat,5400
Fred Wilpon,New York Mets,MLB,KOHL FOR CONGRESS,"$5,400",2018,Democrat,Democrat,5400
Fred Wilpon,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$3,333",2020,Bipartisan,Bipartisan,3333
Fred Wilpon,New York Mets,MLB,MEEKS VICTORY FUND,"$3,032",2020,Democrat,Democrat,3032
Fred Wilpon,New York Mets,MLB,TEAM RICK SCOTT,"$2,997",2020,Republican,Republican,2997
Fred Wilpon,New York Mets,MLB,SUOZZI VICTORY FUND,"$2,938",2018,Democrat,Democrat,2938
Fred Wilpon,New York Mets,MLB,CROWLEY LEADERSHIP FUND,"$2,772",2018,Democrat,Democrat,2772
Fred Wilpon,New York Mets,MLB,CHRIS CHRISTIE FOR PRESIDENT INC.,"$2,700",2016,Republican,Republican,2700
Fred Wilpon,New York Mets,MLB,CROWLEY LEADERSHIP FUND,"$1,768",2016,Democrat,Democrat,1768
Fred Wilpon,New York Mets,MLB,ENGEL FOR CONGRESS,"$1,518",2018,Democrat,Democrat,1518
Fred Wilpon,New York Mets,MLB,SUOZZI FOR CONGRESS,"$1,400",2016,Democrat,Democrat,1400
Fred Wilpon,New York Mets,MLB,PETE KING FOR CONGRESS COMMITTEE,"$1,000",2016,Republican,Republican,1000
Fred Wilpon,New York Mets,MLB,CHARLIE CRIST FOR CONGRESS,"$1,000",2018,Democrat,Democrat,1000
Fred Wilpon,New York Mets,MLB,DONOVAN FOR CONGRESS,$280,2016,Republican,Republican,280
Gail Miller,Utah Jazz,NBA,UTAH REPUBLICAN PARTY,"$10,000",2016,Republican,Republican,10000
Gail Miller,Utah Jazz,NBA,BELIEVE IN UTAH JOINT FUNDRAISING COMMITTEE,"$10,000",2020,Republican,Republican,10000
Gail Miller,Utah Jazz,NBA,UTAH REPUBLICAN PARTY,"$10,000",2020,Republican,Republican,10000
Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$10,000",2020,"Bipartisan, but mostly Republican",Bipartisan,10000
Gail Miller,Utah Jazz,NBA,FRIENDS OF BEN MCADAMS,"$5,600",2020,Democrat,Democrat,5600
Gail Miller,Utah Jazz,NBA,"JEB 2016, INC.","$5,400",2016,Republican,Republican,5400
Gail Miller,Utah Jazz,NBA,ROMNEY FOR UTAH INC,"$5,400",2018,Republican,Republican,5400
Gail Miller,Utah Jazz,NBA,FRIENDS OF BEN MCADAMS,"$5,400",2018,Democrat,Democrat,5400
Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$5,000",2016,"Bipartisan, but mostly Republican",Bipartisan,5000
Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$5,000",2018,"Bipartisan, but mostly Republican",Bipartisan,5000
Gail Miller,Utah Jazz,NBA,CURTIS FOR CONGRESS,"$2,800",2020,Republican,Republican,2800
Gail Miller,Utah Jazz,NBA,"FRIENDS FOR CHRIS STEWART, INC.","$2,800",2020,Republican,Republican,2800
Gail Miller,Utah Jazz,NBA,CURTIS FOR CONGRESS,"$2,500",2018,Republican,Republican,2500
Gail Miller,Utah Jazz,NBA,FRIENDS OF MIA LOVE,"$2,500",2018,Republican,Republican,2500
Gail Miller,Utah Jazz,NBA,UTAH STATE DEMOCRATIC COMMITTEE,"$2,500",2018,Democrat,Democrat,2500
Gail Miller,Utah Jazz,NBA,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500",2020,"Bipartisan, but mostly Republican",Bipartisan,2500
Gail Miller,Utah Jazz,NBA,BLAKE MOORE FOR CONGRESS,"$1,500",2020,Republican,Republican,1500
Gail Miller,Utah Jazz,NBA,FRIENDS OF MIKE LEE INC,"$1,000",2016,Republican,Republican,1000
Gail Miller,Utah Jazz,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$1,000",2018,Bipartisan,Bipartisan,1000
Gail Miller,Utah Jazz,NBA,FRIENDS OF KERRY W. GIBSON,"$1,000",2020,Republican,Republican,1000
Gail Miller,Utah Jazz,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$1,000",2020,Bipartisan,Bipartisan,1000
Gary Bettman,Commissioner,NHL,MOULTON FOR CONGRESS,"$1,000",2016,Democrat,Democrat,1000
Gayle Benson,"New Orleans Pelicans, New Orleans Saints","NBA, NFL","JEB 2016, INC.","$2,700",2016,Republican,Republican,2700
Gene Haas,Stewart Haas Racing,NASCAR,JULIA BROWNLEY FOR CONGRESS,"$5,600",2020,Democrat,Democrat,5600
Gene Haas,Stewart Haas Racing,NASCAR,JULIA BROWNLEY FOR CONGRESS,"$5,400",2016,Democrat,Democrat,5400
Gene Haas,Stewart Haas Racing,NASCAR,JULIA BROWNLEY FOR CONGRESS,"$5,400",2018,Democrat,Democrat,5400
George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,"$5,000",2018,Bipartisan,Bipartisan,5000
George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Ginny Gilder,Seattle Storm,WNBA,DEMOCRATIC PARTY OF WISCONSIN,"$7,000",2020,Democrat,Democrat,7000
Ginny Gilder,Seattle Storm,WNBA,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,"$7,000",2020,Democrat,Democrat,7000
Ginny Gilder,Seattle Storm,WNBA,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,"$7,000",2020,Democrat,Democrat,7000
Ginny Gilder,Seattle Storm,WNBA,OHIO DEMOCRATIC PARTY,"$7,000",2020,Democrat,Democrat,7000
Ginny Gilder,Seattle Storm,WNBA,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,"$7,000",2020,Democrat,Democrat,7000
Ginny Gilder,Seattle Storm,WNBA,HILLARY FOR AMERICA,"$2,700",2016,Democrat,Democrat,2700
Ginny Gilder,Seattle Storm,WNBA,JON OSSOFF FOR CONGRESS,$500,2018,Democrat,Democrat,500
Ginny Gilder,Seattle Storm,WNBA,CORY 2020,$250,2020,Democrat,Democrat,250
Ginny Gilder,Seattle Storm,WNBA,ACTBLUE,$100,2018,Democrat,Democrat,100
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",SAVE OUR SENATE COMMITTEE,"$13,500",2016,Republican,Republican,13500
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",ALASKANS FOR DAN SULLIVAN,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",COLLINS FOR SENATOR,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CORY GARDNER FOR SENATE,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA","JOHN JAMES FOR SENATE, INC.","$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MCSALLY FOR SENATE INC,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",PERDUE FOR SENATE,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",STEVE DAINES FOR MONTANA,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",THOM TILLIS COMMITTEE,"$5,600",2020,Republican,Republican,5600
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",ERNST VICTORY IOWA,"$2,800",2020,Republican,Republican,2800
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF JOE HECK,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF KELLY AYOTTE INC,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF PAT TOOMEY,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JOHN KENNEDY FOR US,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",KIRK FOR SENATE,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MARCO RUBIO FOR SENATE 2016,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",PORTMAN FOR SENATE COMMITTEE,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",RON JOHNSON FOR SENATE INC,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",THE RICHARD BURR COMMITTEE,"$2,700",2016,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CITIZENS FOR JOSH MANDEL INC,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CRAMER FOR SENATE,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",HELLER FOR SENATE,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",HOUSLEY FOR SENATE COMMITTEE,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JEFF FLAKE FOR US SENATE INC,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JOSH HAWLEY FOR SENATE,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",KING FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MATT ROSENDALE FOR MONTANA,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MCSALLY FOR SENATE INC,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MIKE BRAUN FOR INDIANA,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MORRISEY FOR SENATE INC,"$2,700",2018,Republican,Republican,2700
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF ERIK PAULSEN,"$2,000",2018,Republican,Republican,2000
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF HAGEDORN,"$2,000",2018,Republican,Republican,2000
Greg Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Greg Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
Greg Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$5,000",2018,Republican,Republican,5000
Greg Johnson,San Francisco Giants,MLB,MARSHA FOR SENATE,"$2,000",2018,Republican,Republican,2000
Greg Johnson,San Francisco Giants,MLB,PERDUE FOR SENATE,"$1,000",2018,Republican,Republican,1000
Greg Johnson,San Francisco Giants,MLB,TEXANS FOR SENATOR JOHN CORNYN INC.,"$1,000",2018,Republican,Republican,1000
Hal Steinbrenner,New York Yankees,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Harvey Alter,Chicago Sky,WNBA,KHAZEI FOR CONGRESS,$500,2020,Democrat,Democrat,500
Henry and Susan Samueli,Anaheim Ducks,NHL,PROTECT THE HOUSE,"$50,000",2018,Republican,Republican,50000
Henry and Susan Samueli,Anaheim Ducks,NHL,CALIFORNIA VICTORY 2018,"$35,000",2018,Republican,Republican,35000
Henry and Susan Samueli,Anaheim Ducks,NHL,TAKE BACK THE HOUSE 2020,"$25,000",2020,Republican,Republican,25000
Henry and Susan Samueli,Anaheim Ducks,NHL,SENATE IMPACT: MN & NV,"$16,200",2018,Democrat,Democrat,16200
Henry and Susan Samueli,Anaheim Ducks,NHL,HOUSLEY FOR SENATE COMMITTEE,"$10,800",2018,Republican,Republican,10800
Henry and Susan Samueli,Anaheim Ducks,NHL,FUND FOR THE MAJORITY PAC,"$10,000",2020,Democrat,Democrat,10000
Henry and Susan Samueli,Anaheim Ducks,NHL,LORETTA SANCHEZ FOR SENATE,"$5,400",2016,Democrat,Democrat,5400
Henry and Susan Samueli,Anaheim Ducks,NHL,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$5,000",2020,Republican,Republican,5000
Henry and Susan Samueli,Anaheim Ducks,NHL,SHAWN NELSON FOR CONGRESS,"$3,700",2018,Republican,Republican,3700
Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),"$1,000",2018,Bipartisan,Bipartisan,1000
Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),"$1,000",2020,Bipartisan,Bipartisan,1000
Herbert Fritch,Nashville Predators,NHL,SMP,"$11,100",2020,Democrat,Democrat,11100
